transaction_id,amount,balance_before,time_of_day,day_of_week,transaction_type,recipient_frequency,location_match,device_match,transaction_frequency,account_age_days,balance_after,transaction_velocity,is_fraud
153,5653.050312872061,8195.56028459788,4,5,Transfer,2.671661381103135,1,1,9,356,2542.509971725818,1,0
154,35049.17639984403,28000.536281327695,23,6,Transfer,2.8450883299327363,0,1,11,27,-7048.640118516334,2,0
155,39582.6015776037,8088.090198341865,5,4,Transfer,5.617057454324565,1,1,8,636,-31494.511379261836,2,0
156,5277.971746329347,30949.502228742673,21,4,Bill Payment,1.1583123670490056,1,1,14,278,25671.530482413327,6,0
157,919466.6220781545,46729.67471146184,14,3,Deposit,10.264567060818504,1,0,9,330,-872736.9473666926,4,0
158,56821.26064610737,10589.22842584894,3,5,Transfer,2.7899441395731204,1,1,9,817,-46232.03222025843,7,0
159,2033.2545311999013,38463.622184798,9,3,Deposit,13.352832181993112,0,1,11,920,36430.3676535981,2,0
160,81887.95727970851,2151.618718097878,18,6,Bill Payment,1.5822488723725634,1,1,7,326,-79736.33856161064,4,0
161,3135.7907670236773,19399.36482475943,8,5,Transfer,3.132982070530102,1,1,9,632,16263.57405773575,6,0
162,106315.8019417582,6426.676883694943,20,6,Transfer,7.529021130572574,1,1,11,471,-99889.12505806325,3,0
163,223505.46798970387,18271.296638189273,9,2,Transfer,4.058829287985681,1,1,5,669,-205234.1713515146,2,0
164,4266.868066862993,9503.309062305292,3,5,Deposit,5.412398042001167,1,1,9,223,5236.440995442299,3,0
165,151259.51129162213,19291.944516021485,21,5,Deposit,1.6473581131055708,1,1,9,150,-131967.56677560063,3,0
166,50290.01632951695,21458.61749926899,3,2,Withdrawal,1.990902469225948,0,1,10,387,-28831.39883024796,3,0
167,114018.99313982211,15728.965016265,5,1,Withdrawal,3.542456395536285,1,1,11,165,-98290.0281235571,2,0
168,978314.0043300954,33174.475524183326,7,6,Transfer,1.1312408494794504,1,0,10,420,-945139.528805912,6,0
169,13483.523910482925,46023.75051168657,15,1,Transfer,0.6751263759818328,1,1,7,902,32540.22660120365,2,0
170,4878.180940615412,20629.173331158345,7,5,Transfer,9.283167008840834,1,1,8,145,15750.992390542933,3,0
171,3718.1114393044536,10424.81466727605,15,1,Transfer,7.455038691860464,1,1,8,770,6706.703227971597,3,0
172,4308.647936564519,14265.415151603183,5,4,Transfer,13.445427005189181,1,1,7,120,9956.767215038664,1,0
173,18878.832147118224,42846.04035132208,16,5,Withdrawal,4.416115307640679,0,1,10,470,23967.208204203856,3,0
174,43577.83592038257,29010.34644023725,0,0,Transfer,2.7259233577624746,1,1,3,170,-14567.48948014532,2,0
175,38306.7576158004,23295.540583040907,18,2,Withdrawal,0.543614232130066,1,1,8,495,-15011.217032759494,0,0
176,115193.25763671374,8332.199353937409,17,3,Deposit,9.501206439571003,1,1,13,326,-106861.05828277633,5,0
177,22606.74933361714,23036.638107865314,16,2,Transfer,3.0464130428567753,1,1,8,24,429.88877424817474,8,0
178,403151.68283283274,14646.108164511947,16,5,Deposit,4.117803825222434,1,1,9,728,-388505.57466832077,3,0
179,12973.78852229417,47214.99326481411,11,0,Deposit,1.8809151973022487,1,1,7,400,34241.20474251994,3,0
180,5077544.482865204,44319.43536137083,11,2,Bill Payment,3.7103526313479107,1,1,6,369,-5033225.047503834,6,0
181,76982.59955782292,5111.224549581702,5,3,Bill Payment,7.610623346676855,1,1,16,505,-71871.37500824122,4,0
182,3966.6805370767465,26316.0209738009,6,3,Deposit,6.2284855969850375,1,1,11,420,22349.340436724153,3,0
183,2586.8986477019675,12027.858930218932,7,0,Withdrawal,22.514260401780213,1,1,13,290,9440.960282516964,1,0
184,57811.60600780102,21128.07738669024,2,3,Transfer,3.422413817977534,1,1,10,51,-36683.52862111078,2,0
185,14087.94053710423,43965.55191432137,16,4,Withdrawal,3.7719196132438326,1,1,6,135,29877.611377217137,6,0
186,91858.1656020784,26848.211474538697,20,3,Bill Payment,0.27083457633525426,1,1,9,873,-65009.954127539706,0,0
187,56753.649925714315,17376.549375167233,7,6,Withdrawal,2.466425198237669,1,1,12,567,-39377.10055054708,5,0
188,19040.854274294627,11186.529351144856,10,0,Transfer,12.761924111892263,1,1,6,636,-7854.32492314977,4,0
189,4049.758642430627,40215.91811091797,19,0,Withdrawal,2.1575790368256915,1,1,5,177,36166.15946848734,5,0
190,1064.5479741517477,31601.38275285301,17,2,Bill Payment,7.264561007936214,1,1,9,246,30536.83477870126,1,0
191,9017.929992500018,23935.20756088533,15,3,Transfer,18.993340847766436,1,1,5,534,14917.277568385312,3,0
192,122124.65796521872,11656.733339285924,12,3,Deposit,0.6782316479471326,1,1,10,559,-110467.92462593279,0,0
193,33799.03356329508,17378.072333699434,8,5,Transfer,2.032275921745966,0,1,10,149,-16420.961229595647,3,0
194,1823.5171999299291,48032.32791018741,18,5,Transfer,3.215828558052677,1,1,14,81,46208.81071025748,2,0
195,31143.531672882833,26484.40694268588,6,0,Transfer,1.3549441830257969,1,1,7,629,-4659.124730196952,3,0
196,47602.22388768526,20634.264780919395,16,5,Transfer,0.06257172712050527,1,1,11,213,-26967.959106765862,3,0
197,3760.4169740828193,26549.68007506787,7,2,Transfer,3.1612402099223313,1,1,12,859,22789.263100985052,2,0
198,29954.96038073531,39170.43678908083,7,6,Deposit,3.8459978786788795,1,1,5,109,9215.47640834552,2,0
199,24745.957885265823,17665.33788864057,2,2,Withdrawal,4.909942319121308,1,1,9,696,-7080.619996625253,3,0
200,2239.6153342891444,9756.599925697834,15,4,Transfer,8.778538971520046,1,1,13,869,7516.984591408689,2,0
201,45052.09296620346,29661.86979861334,11,6,Airtime,1.4587352708014523,0,1,7,661,-15390.22316759012,4,0
202,67613.91288320786,33595.001070572296,14,4,Transfer,0.3148910611231538,1,1,10,489,-34018.91181263556,3,0
203,192163.6220650366,35923.18214496893,20,0,Withdrawal,0.4706462193526354,1,1,14,342,-156240.43992006767,5,0
204,181244.84013115786,44217.39194754035,3,2,Transfer,3.439897728937782,1,1,12,878,-137027.4481836175,1,0
205,1400.6073795909203,19187.53191376654,22,2,Transfer,12.77041420092534,1,1,12,425,17786.924534175618,3,0
206,3375.672761457168,4692.389915215698,6,4,Deposit,20.14582361982154,1,1,8,988,1316.7171537585305,3,0
207,61701.93275339208,47959.08059791617,10,6,Withdrawal,1.1473884221104356,1,1,6,346,-13742.852155475914,1,0
208,61547.95474051937,22315.584444436285,23,5,Withdrawal,0.8241809399760709,1,1,12,203,-39232.370296083085,2,0
209,61703.46533704907,31539.617973983433,4,4,Withdrawal,2.1806923861470167,1,1,7,409,-30163.847363065637,3,0
210,48908559.56272114,33648.96083328632,12,0,Deposit,3.1170764771214565,1,1,6,516,-48874910.60188785,4,0
211,68994.4276337,27779.171726358974,10,6,Transfer,8.252999901624923,1,1,10,140,-41215.25590734103,3,0
212,213444.31978155373,11057.618957077235,4,2,Deposit,7.449544705608732,1,1,9,3,-202386.7008244765,3,0
213,148450.00694664364,38002.00945569093,7,0,Deposit,12.798113943681857,1,1,19,135,-110447.99749095271,4,0
214,81046.83712175739,40383.8467409,20,4,Transfer,9.763189503900534,0,1,14,884,-40662.99038085739,3,0
215,11724.799708282362,28095.803714854548,16,3,Transfer,2.888322615357974,1,1,9,294,16371.004006572186,1,0
216,100502.55620028712,24939.496868657236,10,4,Transfer,0.09603047537726503,1,1,10,566,-75563.05933162988,5,0
217,4695.451583447443,6582.970973271281,18,2,Transfer,1.3497972626165766,1,1,14,888,1887.5193898238376,2,0
218,13716.610004370485,5113.631413489408,17,0,Deposit,4.70874061984106,1,1,15,190,-8602.978590881077,3,0
219,8343.790632151702,17638.67743261291,9,5,Withdrawal,3.480702026894507,1,1,10,57,9294.886800461207,3,0
220,25945.36548903187,16231.46162035227,4,5,Deposit,1.3732385103509226,1,1,12,687,-9713.9038686796,4,0
221,2256481.124677186,47729.166097200294,23,2,Airtime,0.7055097791926829,1,1,7,567,-2208751.9585799854,1,0
222,526.0885869523497,39397.51437972806,0,4,Transfer,1.2168086755669383,0,1,10,534,38871.42579277571,5,0
223,86900.61434133425,33336.290467693936,16,4,Transfer,1.5038022325477773,1,1,10,317,-53564.323873640315,5,0
224,875.3013767449637,26364.75636186265,16,1,Withdrawal,10.097969777939888,1,1,12,417,25489.454985117685,2,0
225,8570.970665993404,9201.009005605916,0,4,Bill Payment,6.19389001246669,1,1,7,100,630.0383396125126,2,0
226,194444.33271110934,48944.37693702991,0,2,Withdrawal,4.018522080145336,1,1,12,898,-145499.95577407943,3,0
227,25048.26989828008,19376.994213770293,22,6,Withdrawal,0.1058169746573003,1,1,10,678,-5671.2756845097865,3,0
228,2551.6881638285868,6239.354519914996,21,6,Bill Payment,8.60733538001929,1,1,9,642,3687.666356086409,3,0
229,5267.928980552504,25196.14589007156,8,0,Withdrawal,4.0199873740947085,1,1,9,239,19928.216909519055,7,0
230,85750.35439186217,43825.90256904108,3,0,Withdrawal,4.935449857990289,1,1,8,261,-41924.451822821095,5,0
231,5111.594841535257,44477.25908708914,8,1,Bill Payment,0.3395031404051036,1,1,16,886,39365.66424555389,2,0
232,33959.271183385776,1537.3298867659155,13,5,Transfer,8.4329461707075,1,1,7,660,-32421.94129661986,0,0
233,24128.371791215133,44428.49149281858,14,2,Bill Payment,8.919793195592874,1,1,9,117,20300.11970160345,2,0
234,5983.729440358875,14302.726657493067,15,4,Transfer,10.742543884533076,1,1,6,814,8318.997217134192,1,0
235,1603802.8985432785,2909.645834452731,15,3,Bill Payment,3.7548295759556733,1,1,8,735,-1600893.2527088257,5,0
236,78263.61169403004,42541.72324778084,12,0,Transfer,2.5047435561544025,1,1,14,813,-35721.8884462492,1,0
237,383.6439184518477,43329.47104342221,13,2,Deposit,0.37925847592744394,1,1,8,429,42945.82712497036,2,0
238,31981.363757043353,30215.32291227515,21,6,Bill Payment,1.0776447260327853,0,1,6,470,-1766.040844768202,3,0
239,5863.060820140143,29147.25410752156,20,1,Transfer,1.2781328568461774,1,1,12,616,23284.193287381415,0,0
240,121159.92784333791,40842.89335844955,8,3,Withdrawal,0.32370585081054226,1,1,7,122,-80317.03448488835,1,0
241,4514.088320691659,39529.16808280371,22,5,Transfer,0.8383974184356818,1,1,7,667,35015.07976211206,8,0
242,17509.994603179017,44615.1681986925,8,2,Transfer,10.89315117317587,1,1,8,335,27105.173595513486,3,0
243,60474.34823315269,28084.62493223847,20,4,Bill Payment,3.9417150497765077,1,1,10,159,-32389.723300914222,4,0
